episode,cumulative_reward,steps,epsilon,reward (rolling avg),steps (rolling avg)
1,974.0999999999999,260.0,1.0,974.0999999999999,260.0
2,988.7,114.0,0.99,981.4,187.0
3,944.6999999999995,554.0,0.9801,969.1666666666665,309.3333333333333
4,911.9000000000008,882.0,0.9702989999999999,954.8500000000001,452.5
5,925.5,746.0,0.96059601,948.9800000000001,511.2
6,990.5,96.0,0.9509900498999999,955.9000000000001,442.0
7,992.9,72.0,0.9414801494009999,961.1857142857143,389.14285714285717
8,964.4999999999998,356.0,0.9320653479069899,961.6,385.0
9,901.9000000000013,982.0,0.92274469442792,954.9666666666667,451.3333333333333
10,975.9,242.0,0.9135172474836407,957.0600000000001,430.4
11,964.4999999999998,356.0,0.9043820750088043,957.7363636363636,423.6363636363636
12,987.7,124.0,0.8953382542587163,960.2333333333335,398.6666666666667
13,966.6999999999998,334.0,0.8863848717161291,960.7307692307693,393.6923076923077
14,992.3,78.0,0.8775210229989678,962.9857142857143,371.14285714285717
15,999.5,6.0,0.8687458127689781,965.42,346.8
16,986.9,132.0,0.8600583546412883,966.7625,333.375
17,993.5,66.0,0.8514577710948754,968.3352941176471,317.6470588235294
18,977.9,222.0,0.8429431933839266,968.8666666666668,312.3333333333333
19,991.7,84.0,0.8345137614500874,970.0684210526317,300.3157894736842
20,992.1,80.0,0.8261686238355865,971.1700000000001,289.3
21,990.7,94.0,0.8179069375972307,972.1000000000001,280.0
22,994.3,58.0,0.8097278682212583,973.1090909090909,269.90909090909093
23,996.5,36.0,0.8016305895390458,974.1260869565218,259.7391304347826
24,990.7,94.0,0.7936142836436553,974.8166666666667,252.83333333333334
25,987.1,130.0,0.7856781408072188,975.308,247.92
26,994.5,56.0,0.7778213593991465,976.0461538461539,240.53846153846155
27,986.7,134.0,0.7700431458051551,976.4407407407408,236.59259259259258
28,989.7,104.0,0.7623427143471035,976.9142857142858,231.85714285714286
29,982.3000000000001,178.0,0.7547192872036325,977.1,230.0
30,993.9,62.0,0.7471720943315961,977.6600000000001,224.4
31,993.9,62.0,0.7397003733882802,978.1838709677421,219.16129032258064
32,992.3,78.0,0.7323033696543974,978.625,214.75
33,996.1,40.0,0.7249803359578534,979.1545454545454,209.45454545454547
34,992.1,80.0,0.7177305325982748,979.535294117647,205.64705882352942
35,993.5,66.0,0.7105532272722921,979.9342857142856,201.65714285714284
36,995.3,48.0,0.7034476949995692,980.3611111111111,197.38888888888889
